Date,Close,High,Low,Open,Volume
2024-12-12,129.1274871826172,134.39438765308387,128.38067835121538,133.30366711742045,2699300
2024-12-13,123.07447814941406,128.48876715967333,122.82882050839729,128.48876715967333,2790700
2024-12-16,122.00341796875,123.90971622040917,120.87339128794925,121.84619347544228,3090900
2024-12-17,118.87864685058594,122.57333230880612,117.36539490888758,119.79249355898573,3290400
2024-12-18,115.91110229492188,121.02078580806672,115.52787696854556,119.37978704215573,2605800
2024-12-19,113.76895904541016,118.0335793495803,113.28747219549405,116.34345367589424,2869000
2024-12-20,114.55506896972656,115.87179028123155,111.96092497065987,112.67824105920336,10452500
2024-12-23,114.58454895019533,114.81054977827692,112.88459480133167,114.47645899002546,1668600
2024-12-24,115.39030456542967,115.82266440185523,113.70017883781271,114.55507010614254,886500
2024-12-26,116.5792999267578,116.99200300125256,113.72966953723684,114.69265087460154,1565300
2024-12-27,115.24291229248048,118.22028172634232,114.70246997596958,116.03884065685406,1330800
2024-12-30,113.84757232666016,114.7024635755304,113.17938327506496,114.7024635755304,1448600
2024-12-31,115.22982025146484,116.1875193962007,114.23262750427618,114.49920743767402,1240000
2025-01-02,113.02810668945312,117.17483702873508,112.92936891686136,116.30600037142266,1383100
2025-01-03,113.9857940673828,114.5979335845869,110.8263813103421,113.40328040043606,2080200
2025-01-06,119.09024047851562,120.27501847458224,116.53308421686036,116.75029527375402,3500000
2025-01-07,119.74185943603516,121.88433650016472,118.7150483815014,119.22845767508548,2223100
2025-01-08,116.68116760253906,119.46540229691384,115.44702088459574,119.00136192574575,2360000
2025-01-10,116.66143035888672,117.332798975437,114.76577518124974,115.23969085881753,2647800
2025-01-13,121.3215560913086,121.98306445606832,116.10852156671116,116.85888487938314,3023300
2025-01-14,120.20590209960938,122.0126948794522,118.51759012804024,121.6868783061754,2501700
2025-01-15,121.51902770996094,122.72355614625644,120.38361119053644,122.6939302967683,2054600
2025-01-16,121.79547882080078,122.6248218466999,121.17347155137642,122.3286311371506,1189100
2025-01-17,122.9506378173828,124.54021947537292,122.23976806565628,122.69393317756284,1858500
2025-01-21,123.48379516601562,126.11993099229024,122.53597130261244,124.89565944364044,2220400
2025-01-22,120.54158020019533,124.23415277473876,120.11704094089568,123.15797286989708,2739800
2025-01-23,120.511962890625,122.81241430644909,120.27500881696513,120.5317134574666,3000000
2025-01-24,120.62056732177734,122.96051231753296,119.82084262249624,122.42736000713418,2399900
2025-01-27,120.42310333251952,121.7066114206746,119.62337865660416,121.13397305894826,3103900
2025-01-28,124.94503021240234,126.16930177949692,117.78697847636695,120.42311434235737,4913300
2025-01-29,125.26097106933594,127.1467435341977,124.16504806681247,125.14249026029964,2738900
2025-01-30,127.04798889160156,127.215846097909,125.09310476418626,126.37662032744024,3125300
2025-01-31,126.8011703491211,129.79275602314266,125.05362934438658,126.69257989443976,4010000
2025-02-03,129.634765625,131.7377412478194,124.62906717198264,128.53884280990448,5054100
2025-02-04,129.160888671875,129.56567741635791,126.44576541884412,127.36396350581217,3320500
2025-02-05,131.53042602539062,131.72788649352628,129.09175082748175,129.52617289654103,2669200
2025-02-06,131.51068115234375,134.35416022545454,130.65171979287015,133.24836950380865,2891100
2025-02-07,128.60797119140625,134.00859908236035,128.42039352259647,132.20180626266503,3571400
2025-02-10,135.7857666015625,139.03404942249682,134.64047475310613,135.06502908713247,5613100
2025-02-11,136.35842895507812,139.705434884325,135.51920300210298,137.5925759063531,4278800
2025-02-12,131.85623168945312,135.73638154309887,131.76737674591928,134.6602092751442,2827200
2025-02-13,133.8308868408203,134.20605723719387,130.73071056981112,131.82663357042128,2423400
2025-02-14,136.02273559570312,136.18069494540438,133.56430960800645,134.4923904643723,2108900
2025-02-18,140.7124786376953,141.2456233995647,136.46701084774372,138.22443459668008,3061000
2025-02-19,137.9973602294922,140.26819331213014,136.63485736685575,137.36547768230554,2372000
2025-02-20,138.17506408691406,140.79146417869995,137.41482548731025,138.47126231347235,1895700
2025-02-21,133.5149383544922,139.59681763567662,133.20887234670292,138.92544898185102,2277600
2025-02-24,134.452880859375,135.43033054201246,132.1129433629238,133.59391951313717,1742200
2025-02-25,134.35415649414062,135.0551434266915,131.72788853790024,134.45287919710657,2066700
